INFO:__main__:File(name='date', extension='.log', dir=False, parent=WindowsPath('C:/Users/slavu/PycharmProjects/Dive_into_python24/Lesson15_Python_Standard_Library_Overview'))
INFO:__main__:File(name='error', extension='.log', dir=False, parent=WindowsPath('C:/Users/slavu/PycharmProjects/Dive_into_python24/Lesson15_Python_Standard_Library_Overview'))
INFO:__main__:File(name='fileinfo', extension='.log', dir=False, parent=WindowsPath('C:/Users/slavu/PycharmProjects/Dive_into_python24/Lesson15_Python_Standard_Library_Overview'))
INFO:__main__:File(name='help', extension='.py', dir=False, parent=WindowsPath('C:/Users/slavu/PycharmProjects/Dive_into_python24/Lesson15_Python_Standard_Library_Overview'))
INFO:__main__:File(name='info', extension='.log', dir=False, parent=WindowsPath('C:/Users/slavu/PycharmProjects/Dive_into_python24/Lesson15_Python_Standard_Library_Overview'))
INFO:__main__:File(name='info4', extension='.log', dir=False, parent=WindowsPath('C:/Users/slavu/PycharmProjects/Dive_into_python24/Lesson15_Python_Standard_Library_Overview'))
INFO:__main__:File(name='task1', extension='.py', dir=False, parent=WindowsPath('C:/Users/slavu/PycharmProjects/Dive_into_python24/Lesson15_Python_Standard_Library_Overview'))
INFO:__main__:File(name='task2', extension='.py', dir=False, parent=WindowsPath('C:/Users/slavu/PycharmProjects/Dive_into_python24/Lesson15_Python_Standard_Library_Overview'))
INFO:__main__:File(name='task3', extension='.py', dir=False, parent=WindowsPath('C:/Users/slavu/PycharmProjects/Dive_into_python24/Lesson15_Python_Standard_Library_Overview'))
INFO:__main__:File(name='task4', extension='.py', dir=False, parent=WindowsPath('C:/Users/slavu/PycharmProjects/Dive_into_python24/Lesson15_Python_Standard_Library_Overview'))
INFO:__main__:File(name='task5', extension='.py', dir=False, parent=WindowsPath('C:/Users/slavu/PycharmProjects/Dive_into_python24/Lesson15_Python_Standard_Library_Overview'))
INFO:__main__:File(name='task6', extension='.py', dir=False, parent=WindowsPath('C:/Users/slavu/PycharmProjects/Dive_into_python24/Lesson15_Python_Standard_Library_Overview'))
INFO:__main__:File(name='test_dir', extension='', dir=True, parent=WindowsPath('C:/Users/slavu/PycharmProjects/Dive_into_python24/Lesson15_Python_Standard_Library_Overview'))
INFO:__main__:File(name='just_file', extension='', dir=False, parent=WindowsPath('C:/Users/slavu/PycharmProjects/Dive_into_python24/Lesson15_Python_Standard_Library_Overview/test_dir'))
INFO:__main__:File(name='new_test_file', extension='.py', dir=False, parent=WindowsPath('C:/Users/slavu/PycharmProjects/Dive_into_python24/Lesson15_Python_Standard_Library_Overview/test_dir'))
